Altitude(m),Precipitation(mm),Average Temperature (¡ãC),pH,TN(g/kg-1),AP (mg/kg-1),AK(mg/kg-1),SOC(%),Large-leaved variety,Medium-leaved variety,small-leaved variety,Years of planting,Replicates,mineral fertilizer,organic fertilizer,controlled-released fertilizer,mix fertilizer,N quantity(kg/y/hm2),P2O5 quantity(kg/y/hm2),K2O quantity(kg/y/hm2),organic fertilizer quantity(kg`y/hm2),optimized_target,original_target,optimized_N,original_N,N_reduction,N_reduction_percent,yield_change
543.0,1540.0,19.3,5.64,0.63,30.0,181.3,0.92,0.0,1.0,0.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11400.0,366.33,366.33,0.0,0.0,0.0,0.0,0.0
1363.0,1330.0,19.9,4.4,0.2,27.2,179.5,3.02,1.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.74,554.74,0.0,0.0,0.0,0.0,0.0
152.27631682176536,1556.4575000716954,20.76,5.073265930547521,9.019525267043106,573.0281678438006,254.714,3.2668070573272496,0.0,1.0,0.0,15.713579474320763,4.0,1.0,0.0,0.0,0.0,0.0,263.6530280803443,336.0,11291.873982877052,251.81152051558607,129.72,0.0,155.34,155.34,100.0,122.09152051558607
224.0,1378.3,19.92,4.2,1.52,35.6,184.0,1.02,0.0,1.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,105.0,105.0,0.0,352.23,352.23,0.0,0.0,0.0,0.0,0.0
413.82746870098407,1088.057256430534,15.897859804362325,4.533643880700005,3.8441367891617966,443.34339390551077,159.49570567170076,2.275046785299838,1.0,0.0,0.0,10.816017002440738,3.2,1.0,0.0,0.0,0.0,0.0,160.69085329945017,100.88816604746322,9975.889565395933,352.74186802584865,119.02,0.0,109.7,109.7,100.0,233.72186802584866
1291.8128130479236,1517.5032918211837,16.785254814086755,5.249709948689613,0.7545289944069395,407.98429641905875,190.53696227779398,2.7144430669352078,0.0,1.0,0.0,16.05674313173706,3.599338541895334,0.0,0.0,1.0,0.0,0.0,384.00264163059666,325.11366725704437,12223.698552483798,499.33282571562177,232.81,0.0,300.0,300.0,100.0,266.52282571562176
1026.9947726733162,1565.4693032802693,20.76,5.292,3.83438561983447,792.765497857149,197.9672994467802,2.6435088697754345,0.0,1.0,0.0,17.597267417926467,3.8,1.0,0.0,0.0,0.0,0.0,313.0843256669497,225.29671647916499,14329.981098083526,319.87968819578754,291.55,0.0,525.0,525.0,100.0,28.329688195787526
74.0,1461.0,16.4,5.5,1.7,18.2,151.6,2.75,0.0,1.0,0.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.69,154.69,0.0,0.0,0.0,0.0,0.0
808.8549172015445,1506.3199999999997,19.171110259082596,5.547528729186634,7.495241877253568,386.4190728425089,251.6905032456639,3.267369502172575,0.0,1.0,0.0,14.988967944660079,3.8,1.0,0.0,0.0,0.0,0.0,92.725923434881,77.93387270488945,11699.400000000001,396.4574382049811,274.53,0.0,75.0,75.0,100.0,121.92743820498112
0.0,1595.9788866452377,22.8,5.7,0.17,14.4,133.30652519585198,0.23311811088948126,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,143.71837882968543,133.87296503976717,157.4605531044579,0.0,767.262064306019,754.0,143.71837882968543,150.0,6.2816211703145655,4.187747446876377,13.262064306019056
