longitude,latitude,Altitude,Precipitation,Average Temperature,pH,TN,SOC,Large-leaved variety,Medium-leaved variety,small-leaved variety,mineral fertilizer,organic fertilizer,controlled-released fertilizer,mix fertilizer,N quantity,P2O5 quantity,K2O quantity,organic fertilizer.1,optimized_target,original_target,improvement
119.57,27.21,1093.3102426114776,2012.9230139974775,15.528638959993181,3.38,0.4906227328532513,2.1376257910514354,0,1,0,1,0,0,0,39.47815978588313,5.715841021144412,8.160918159935665,0.008945966914770292,706.1384472699737,319.6,386.53844726997363
119.43,32.53,1113.729076608257,1250.164527004332,15.211176677675615,4.4170163982200465,0.9753091593779268,2.402615740396685,0,1,0,1,0,0,0,44.861123869477964,11.179560078420877,51.0630721370316,0.014831898746708164,796.1233522415827,8.21,787.9133522415826
113.33,28.58,967.4531511999837,1243.5624717109338,25.433511245686002,4.419045824824665,0.19321898390637637,2.1568385754096586,1,0,0,0,0,1,0,238.231125,14.909315523930625,29.516600232284425,0,801.967210076361,240,561.967210076361
118.03,25.4,1117.5380017136226,1816.97293607413,27,4.591004278836545,0.5348342791317746,2.63494531403456,0,1,0,0,1,0,0,163.54621296594598,9.774383754543967,24.93005629112903,0.00025040936913824937,732.4830721492322,515.3,217.1830721492322
119.17,35.3,1106.0713169388964,1267.544276746226,26.669597332578057,4.402403016946611,0.18270492290339946,2.600870419136749,0,1,0,0,0,0,1,152.72682351723122,10.8791519133847,86.11392831661375,0.0068565881092297306,747.731888600312,271.34,476.39188860031203
88.24,26.88,954.7985394770245,1277.6198902005735,24.870637477707916,4.4319097098241125,0.17,2.090007865453936,1,0,0,1,0,0,0,235.79903532625553,11.16512888974459,87.571125,0.00569612487250056,741.1469383292152,119.02,622.1269383292152
113.78,23.16,0,1580.2,22.48,5.7,0.45,0.68,1,0,0,1,0,0,0,11.31,11.31,11.31,0,772.5826522117671,754,18.58265221176714
120.52,29.74,1106.1363294365328,1271.3466379050517,15.539838765058187,4.552118757712357,6.0452725673486505,2.496947597141185,0,1,0,1,0,0,0,55.83671538717101,20.21133352501253,47.563868465098984,0.00815894697806812,695.8230859236871,584.06,111.76308592368719
116.78,23.81,671.752295187853,1278.1070949396885,21.632199752104757,4.627609747813673,0.8289767095606186,2.2026304283315987,0,1,0,1,0,0,0,103.41411536457699,15.029048102473999,32.17793367956575,0.00024857926589235595,676.0076511316564,236,440.0076511316564
120.52,29.74,1091.690747825037,1284.219303101358,12.6,4.586983532038182,0.574439874068285,2.5778842525443304,0,1,0,0,0,1,0,106.18035484232944,19.932759307492333,28.98612440343848,0.0063850400509943735,880.9503885642173,379.31,501.6403885642173
